"","start_time","duration","ntransfers","stop_id","stop_name","stop_lon","stop_lat"
"66",12:08:00,00:07:00,0,"8101370","Pernegg/Mur Bahnhof",15.343008,47.35947
"67",12:58:00,00:47:00,0,"8101398","Graz Puntigam Bahnhof",15.429247,47.030811
"68",12:58:00,01:29:00,0,"8101454","Rohr/Raab Bahnhof",15.812483,46.976287
"69",12:15:00,01:01:00,0,"8101504","St.Georgen ob Judenburg Bahnhof",14.498798,47.212198
"70",14:28:00,00:48:00,0,"8101520","Steinhaus am Semmering Bahnhof",15.784099,47.620892
"71",13:06:00,01:23:00,0,"8101538","Scheifling in Stmk Bahnhof",14.417111,47.149111
"72",14:28:00,00:44:00,0,"8101596","Spital am Semmering Bahnhof",15.748198,47.616474
"73",12:15:00,00:56:00,0,"8101678","Thalheim-Pöls Bahnhof",14.588583,47.19657
"74",12:58:00,01:07:00,0,"8101774","Wildon Bahnhof",15.521,46.884183
"75",14:28:00,00:56:00,0,"8101795","Wolfsbergkogel Bahnhof",15.827104,47.649617
"76",12:38:00,01:12:00,0,"8101918","Kaindorf/Sulm Bahnhst",15.542428,46.802172
"77",15:45:00,01:26:00,0,"8102017","Wr.Neustadt Anemonensee Bahnhof",16.209755,47.811918
"78",12:08:00,01:17:00,0,"8102050","Hart b.Graz Bahnhst",15.507476,47.041841
"79",12:58:00,00:50:00,0,"8103174","Feldkirchen-Seiersberg Bahnhst",15.440478,47.012604
"80",12:58:00,00:50:00,0,"8103487","Graz Liebenau Murpark Bahnhof",15.463079,47.039873
"81",12:58:00,00:43:00,0,"8103490","Graz Don Bosco Bahnhof",15.419569,47.058523
